ObjectiveValue	k1	k2	k3
59.2084	0.476023	0.472157	0.0579061
59.2084	0.475961	0.472122	0.0578598
59.2083	0.475585	0.471857	0.0577896
59.2083	0.475598	0.471929	0.0578064
59.2083	0.475551	0.471975	0.0578169
59.2083	0.47556	0.471949	0.057809
59.2083	0.475552	0.471951	0.0578086
59.2083	0.475589	0.471986	0.0578173
59.2083	0.475534	0.471949	0.0578112
59.2083	0.475522	0.471945	0.057811
59.2083	0.475524	0.471946	0.057811
59.2083	0.475525	0.471946	0.057811
5929.31	10	0.0001	10
310.161	0.000927957	0.000754891	0.0142209
302.98	0.0015761	0.000603915	1.22794
301.605	0.00201563	0.00172074	0.000319872
271.95	0.0320711	0.952881	2.2179
181.595	0.0918943	0.868609	5.9923
134.425	0.544745	2.79273	2.11066
129.408	0.139728	0.540934	0.169759
111.053	0.342423	0.998878	0.336438
109.387	0.310874	0.968445	0.216413
106.319	0.391585	0.408527	0.0001
105.217	0.313466	0.808264	0.262252
93.7402	0.254503	0.624096	0.136755
65.9249	0.349535	0.467025	0.0761882
65.4668	0.318247	0.430652	0.0570065
64.5056	0.328301	0.418328	0.0451901
63.9396	0.333016	0.398251	0.0456253
61.5414	0.373317	0.415937	0.0489122
60.3597	0.404325	0.428985	0.0519404
59.9156	0.426628	0.432244	0.0525479
59.4351	0.460201	0.44806	0.0523382
59.3828	0.460524	0.451234	0.0559159
59.273	0.468854	0.458425	0.0559475
59.2086	0.476351	0.472717	0.0579584
59.2085	0.47569	0.472333	0.0579906
59.2085	0.476374	0.472355	0.0578898
59.2083	0.475676	0.471884	0.0577867
59.2083	0.475728	0.472017	0.0578376
59.2083	0.475684	0.472048	0.0578209
59.2083	0.47565	0.471993	0.0578284
59.2083	0.475606	0.471973	0.0578257
59.2083	0.475609	0.471981	0.0578236
59.2083	0.475585	0.471925	0.0578047
59.2083	0.475555	0.471943	0.0578179
59.2083	0.475552	0.471957	0.0578115
59.2083	0.475532	0.471959	0.0578139
59.2083	0.475515	0.471944	0.0578111
59.2083	0.475534	0.471948	0.0578118
59.2083	0.475521	0.471945	0.0578111
59.2083	0.475501	0.471925	0.0578095
59.2083	0.475538	0.471945	0.0578101
59.2083	0.475506	0.471974	0.0578104
59.2083	0.47552	0.471947	0.0578111
59.2083	0.475519	0.471946	0.0578111
5929.31	10	0.0001	10
4653.02	0.228132	0.000580206	0.492936
326.496	0.00208974	0.235146	4.85187
203.111	0.847565	2.19377	0.0659096
170.651	5.4407	1.96889	0.123708
93.8554	0.308935	0.611616	0.176128
76.6351	0.617556	0.577232	0.124441
75.0995	0.284883	0.312707	0.0451399
64.7887	0.385977	0.516	0.0524038
59.6363	0.430192	0.448287	0.0550891
59.2955	0.492572	0.487084	0.0603024
59.2192	0.475034	0.471082	0.0586853
59.2112	0.474655	0.471591	0.057247
59.209	0.474399	0.472573	0.057937
59.2085	0.476246	0.471712	0.0577876
59.2084	0.47518	0.471606	0.0576698
59.2084	0.475343	0.472219	0.0578309
59.2083	0.475297	0.471916	0.0577911
59.2083	0.475363	0.471796	0.0577893
59.2083	0.47542	0.47194	0.0578306
59.2083	0.475484	0.472046	0.0578233
59.2083	0.475557	0.471958	0.0578251
59.2083	0.475399	0.471858	0.057798
59.2083	0.475525	0.471944	0.05781
59.2083	0.475522	0.471942	0.0578099
59.2083	0.475523	0.471943	0.0578104
59.2083	0.475523	0.471942	0.0578103
59.2083	0.475523	0.471943	0.0578102
59.2083	0.475523	0.471943	0.0578099
5929.31	10	0.0001	10
1558.3	0.455743	0.297756	7.64825
258.98	0.00805471	0.0570432	0.00295564
112.55	1.58501	1.09384	0.185666
111.24	0.208725	0.253487	0.00127586
76.2331	0.85763	0.623262	0.0774908
74.1088	0.543247	0.584123	0.126105
71.8466	0.659222	0.718557	0.114311
65.8372	0.546897	0.504082	0.039662
60.1128	0.538952	0.48139	0.0545309
60.1087	0.535935	0.511105	0.0681997
59.6536	0.435919	0.472478	0.0608289
59.5423	0.485318	0.486048	0.0549518
59.3982	0.506621	0.488016	0.0612923
59.3126	0.488148	0.49003	0.0608627
59.2432	0.465101	0.472055	0.0589111
59.23	0.465884	0.471351	0.0582343
59.2197	0.469916	0.471409	0.0584718
59.2148	0.47445	0.472798	0.0587114
59.2099	0.476341	0.471544	0.0580794
59.2095	0.477358	0.471601	0.0575826
