Time	IR_beta	IR_beta_pY1146
0	8.28035	0
0.2	7.52928	0.716309
0.4	6.84708	1.30316
0.6	6.2281	1.77819
0.8	5.66709	2.15697
1	5.15916	2.4532
1.2	4.69977	2.67892
1.4	4.28473	2.8447
1.6	3.91016	2.95977
1.8	3.57246	3.03221
2	3.26834	3.06905
2.2	2.99476	3.07639
2.4	2.74891	3.05955
2.6	2.52824	3.02309
2.8	2.33038	2.97096
3	2.15318	2.90654
3.2	1.99467	2.83271
3.4	1.85305	2.75194
3.6	1.72668	2.6663
3.8	1.61405	2.57756
4	1.51379	2.48716
4.2	1.42468	2.39633
4.4	1.34557	2.30607
4.6	1.27545	2.21718
4.8	1.21339	2.1303
5	1.15855	2.04596
5.2	1.11016	1.96455
5.4	1.06755	1.88634
5.6	1.03008	1.81156
5.8	0.997211	1.74032
6	0.968424	1.67271
6.2	0.943271	1.60875
6.4	0.921344	1.54842
6.6	0.902278	1.49167
6.8	0.885743	1.43841
7	0.871446	1.38856
7.2	0.859123	1.342
7.4	0.84854	1.29859
7.6	0.839488	1.2582
7.8	0.831777	1.2207
8	0.825243	1.18592
8.2	0.819737	1.15374
8.4	0.815127	1.12399
8.6	0.811296	1.09655
8.8	0.808142	1.07126
9	0.805573	1.04799
9.2	0.803509	1.0266
9.4	0.801878	1.00698
9.6	0.800618	0.98899
9.8	0.799674	0.972523
10	0.798998	0.957467
