Time	IR_beta_pY1146	IRbetaPercent	InsulinPercent
2	0.13108	65	2
2	0.133096	66	2
2	0.135113	67	2
2	0.13713	68	2
2	0.139146	69	2
2	0.141163	70	2
2	0.143179	71	2
2	0.145196	72	2
2	0.147213	73	2
2	0.149229	74	2
2	0.151246	75	2
2	0.153262	76	2
2	0.155279	77	2
2	0.157296	78	2
2	0.159312	79	2
2	0.161329	80	2
2	0.163345	81	2
2	0.165362	82	2
2	0.167379	83	2
2	0.169395	84	2
2	0.171412	85	2
2	0.173429	86	2
2	0.175445	87	2
2	0.177462	88	2
2	0.179478	89	2
2	0.181495	90	2
2	0.183512	91	2
2	0.185528	92	2
2	0.187545	93	2
2	0.189561	94	2
2	0.191578	95	2
2	0.193595	96	2
2	0.195611	97	2
2	0.197628	98	2
2	0.199644	99	2
2	0.201661	100	2
2	0	0	3
2	0.00300854	1	3
2	0.00601708	2	3
2	0.00902562	3	3
2	0.0120342	4	3
2	0.0150427	5	3
2	0.0180512	6	3
2	0.0210598	7	3
2	0.0240683	8	3
2	0.0270769	9	3
2	0.0300854	10	3
2	0.0330939	11	3
2	0.0361025	12	3
2	0.039111	13	3
2	0.0421196	14	3
2	0.0451281	15	3
2	0.0481366	16	3
2	0.0511452	17	3
2	0.0541537	18	3
2	0.0571623	19	3
2	0.0601708	20	3
2	0.0631793	21	3
2	0.0661879	22	3
2	0.0691964	23	3
2	0.072205	24	3
2	0.0752135	25	3
2	0.078222	26	3
2	0.0812306	27	3
2	0.0842391	28	3
2	0.0872476	29	3
2	0.0902562	30	3
2	0.0932647	31	3
2	0.0962733	32	3
2	0.0992818	33	3
2	0.10229	34	3
2	0.105299	35	3
2	0.108307	36	3
2	0.111316	37	3
2	0.114325	38	3
2	0.117333	39	3
2	0.120342	40	3
2	0.12335	41	3
2	0.126359	42	3
2	0.129367	43	3
2	0.132376	44	3
2	0.135384	45	3
2	0.138393	46	3
2	0.141401	47	3
2	0.14441	48	3
2	0.147418	49	3
2	0.150427	50	3
2	0.153436	51	3
2	0.156444	52	3
2	0.159453	53	3
2	0.162461	54	3
2	0.16547	55	3
2	0.168478	56	3
2	0.171487	57	3
2	0.174495	58	3
2	0.177504	59	3
2	0.180512	60	3
2	0.183521	61	3
2	0.186529	62	3
2	0.189538	63	3
2	0.192547	64	3
2	0.195555	65	3
2	0.198564	66	3
2	0.201572	67	3
2	0.204581	68	3
2	0.207589	69	3
2	0.210598	70	3
2	0.213606	71	3
2	0.216615	72	3
2	0.219623	73	3
2	0.222632	74	3
2	0.22564	75	3
2	0.228649	76	3
2	0.231658	77	3
2	0.234666	78	3
2	0.237675	79	3
2	0.240683	80	3
2	0.243692	81	3
2	0.2467	82	3
2	0.249709	83	3
2	0.252717	84	3
2	0.255726	85	3
2	0.258734	86	3
2	0.261743	87	3
2	0.264751	88	3
2	0.26776	89	3
2	0.270769	90	3
2	0.273777	91	3
2	0.276786	92	3
2	0.279794	93	3
2	0.282803	94	3
2	0.285811	95	3
2	0.28882	96	3
2	0.291828	97	3
2	0.294837	98	3
2	0.297845	99	3
2	0.300854	100	3
2	0	0	4
2	0.0039897	1	4
2	0.0079794	2	4
2	0.0119691	3	4
2	0.0159588	4	4
2	0.0199485	5	4
2	0.0239382	6	4
2	0.0279279	7	4
