Time	IR_beta	IR_beta_pY1146
0	16.5607	0
0.2	15.0586	1.43262
0.4	13.6942	2.60631
0.6	12.4562	3.55637
0.8	11.3342	4.31394
1	10.3183	4.9064
1.2	9.39955	5.35785
1.4	8.56947	5.6894
1.6	7.82031	5.91954
1.8	7.14492	6.06442
2	6.53668	6.13809
2.2	5.98951	6.15279
2.4	5.49782	6.1191
2.6	5.05647	6.04619
2.8	4.66076	5.94192
3	4.30636	5.81307
3.2	3.98935	5.66542
3.4	3.70611	5.50387
3.6	3.45336	5.3326
3.8	3.22809	5.15511
4	3.02758	4.97432
4.2	2.84935	4.79267
4.4	2.69114	4.61214
4.6	2.5509	4.43435
4.8	2.42678	4.26061
5	2.3171	4.09193
5.2	2.22033	3.92909
5.4	2.1351	3.77268
5.6	2.06017	3.62311
5.8	1.99442	3.48064
6	1.93685	3.34543
6.2	1.88654	3.2175
6.4	1.84269	3.09684
6.6	1.80456	2.98333
6.8	1.77149	2.87683
7	1.74289	2.77713
7.2	1.71825	2.684
7.4	1.69708	2.59718
7.6	1.67898	2.51641
7.8	1.66355	2.44139
8	1.65049	2.37185
8.2	1.63947	2.30748
8.4	1.63025	2.24799
8.6	1.62259	2.1931
8.8	1.61628	2.14252
9	1.61115	2.09597
9.2	1.60702	2.05321
9.4	1.60376	2.01396
9.6	1.60124	1.97798
9.8	1.59935	1.94505
10	1.598	1.91493
