Time	IR_beta	IR_beta_pY1146
0	14.9046	0
0.2	13.5527	1.28936
0.4	12.3247	2.34568
0.6	11.2106	3.20074
0.8	10.2008	3.88254
1	9.28649	4.41576
1.2	8.45959	4.82206
1.4	7.71252	5.12046
1.6	7.03828	5.32759
1.8	6.43043	5.45797
2	5.88301	5.52428
2.2	5.39056	5.53751
2.4	4.94804	5.5072
2.6	4.55082	5.44157
2.8	4.19468	5.34773
3	3.87573	5.23177
3.2	3.59041	5.09888
3.4	3.3355	4.95349
3.6	3.10802	4.79934
3.8	2.90528	4.6396
4	2.72483	4.47689
4.2	2.56442	4.3134
4.4	2.42203	4.15092
4.6	2.29581	3.99092
4.8	2.1841	3.83455
5	2.08539	3.68274
5.2	1.99829	3.53618
5.4	1.92159	3.39542
5.6	1.85415	3.2608
5.8	1.79498	3.13258
6	1.74316	3.01088
6.2	1.69789	2.89575
6.4	1.65842	2.78716
6.6	1.6241	2.685
6.8	1.59434	2.58915
7	1.5686	2.49942
7.2	1.54642	2.4156
7.4	1.52737	2.33746
7.6	1.51108	2.26477
7.8	1.4972	2.19725
8	1.48544	2.13466
8.2	1.47553	2.07673
8.4	1.46723	2.02319
8.6	1.46033	1.97379
8.8	1.45466	1.92826
9	1.45003	1.88638
9.2	1.44632	1.84789
9.4	1.44338	1.81256
9.6	1.44111	1.78018
9.8	1.43941	1.75054
10	1.4382	1.72344
