Estimation	ObjectiveValue	k1	k2	k3
7193	59.2083	0.475528	0.471946	0.0578112
9187	59.2083	0.47553	0.47195	0.0578121
9129	59.2083	0.475524	0.471946	0.0578109
7315	59.2083	0.475528	0.471949	0.0578112
8291	59.2083	0.475526	0.471947	0.05781
6723	59.2083	0.475527	0.471945	0.057811
7405	59.2083	0.475526	0.471944	0.0578103
6147	59.2083	0.475532	0.471944	0.0578101
8928	59.2083	0.475528	0.471938	0.0578109
6478	59.2083	0.475524	0.471948	0.0578116
7551	59.2083	0.4755	0.471933	0.0578081
5361	59.2083	0.475521	0.471946	0.057811
7759	59.2083	0.475526	0.471945	0.057811
8287	59.2083	0.475538	0.471952	0.0578109
7648	59.2083	0.475527	0.471946	0.0578116
9890	59.2083	0.475525	0.471945	0.0578107
3972	59.2083	0.475528	0.471947	0.0578119
5792	59.2083	0.475525	0.471946	0.05781
7157	59.2083	0.475541	0.471961	0.0578119
8105	59.2083	0.475518	0.471942	0.0578111
8099	59.2083	0.475545	0.471947	0.0578084
4125	59.2083	0.47553	0.471945	0.0578099
8403	59.2083	0.475522	0.471942	0.0578103
6537	59.2083	0.475529	0.471953	0.0578113
7790	59.2083	0.475528	0.471942	0.0578102
6417	59.2083	0.475526	0.471942	0.057811
9204	59.2083	0.475529	0.471945	0.0578107
6013	59.2083	0.475541	0.471943	0.0578108
9277	59.2083	0.475529	0.471946	0.0578101
6725	59.2083	0.475528	0.471947	0.057811
4882	59.2083	0.475525	0.471941	0.0578104
3394	59.2083	0.47551	0.471948	0.0578096
7530	59.2083	0.475531	0.471951	0.0578123
9570	59.2083	0.475525	0.47194	0.0578089
4429	59.2083	0.475528	0.471946	0.0578111
3515	59.2083	0.475526	0.47194	0.057812
4055	59.2083	0.475538	0.471945	0.0578112
4314	59.2083	0.475526	0.471944	0.0578109
7579	59.2083	0.475526	0.471946	0.0578098
7041	59.2083	0.475531	0.471946	0.0578129
6077	59.2083	0.475524	0.47195	0.0578141
7606	59.2083	0.475524	0.471933	0.0578094
4871	59.2083	0.475518	0.471946	0.0578119
9632	59.2083	0.475525	0.471944	0.0578108
5365	59.2083	0.475526	0.471944	0.0578112
9840	59.2083	0.475522	0.471946	0.0578114
4407	59.2083	0.475516	0.471945	0.057811
5590	59.2083	0.475535	0.471946	0.0578106
7304	59.2083	0.475525	0.471945	0.0578107
8192	59.2083	0.475529	0.471944	0.057811
9985	59.2083	0.475521	0.471941	0.0578121
5581	59.2083	0.475522	0.471945	0.0578112
7012	59.2083	0.475528	0.471946	0.057811
5442	59.2083	0.475528	0.471946	0.0578113
6214	59.2083	0.475528	0.471964	0.0578133
3196	59.2083	0.475522	0.471945	0.0578109
5044	59.2083	0.475524	0.471944	0.0578108
4328	59.2083	0.475529	0.471938	0.0578108
9556	59.2083	0.475529	0.471947	0.0578111
6836	59.2083	0.47554	0.471944	0.0578118
4534	59.2083	0.475525	0.471945	0.0578115
8395	59.2083	0.475528	0.471943	0.0578097
9490	59.2083	0.475527	0.471946	0.0578107
5351	59.2083	0.475527	0.471948	0.0578111
8093	59.2083	0.47553	0.471945	0.0578113
3034	59.2083	0.475524	0.471944	0.0578111
5792	59.2083	0.475524	0.471946	0.0578123
