Time	IR_beta	IR_beta_pY1146
0	9.93642	0
0.2	9.03513	0.859571
0.4	8.21649	1.56379
0.6	7.47372	2.13382
0.8	6.80051	2.58836
1	6.19099	2.94384
1.2	5.63973	3.21471
1.4	5.14168	3.41364
1.6	4.69219	3.55172
1.8	4.28695	3.63865
2	3.92201	3.68285
2.2	3.59371	3.69167
2.4	3.29869	3.67146
2.6	3.03388	3.62771
2.8	2.79645	3.56515
3	2.58382	3.48784
3.2	2.39361	3.39925
3.4	2.22367	3.30232
3.6	2.07201	3.19956
3.8	1.93685	3.09307
4	1.81655	2.98459
4.2	1.70961	2.8756
4.4	1.61469	2.76728
4.6	1.53054	2.66061
4.8	1.45607	2.55637
5	1.39026	2.45516
5.2	1.3322	2.35746
5.4	1.28106	2.26361
5.6	1.2361	2.17387
5.8	1.19665	2.08839
6	1.16211	2.00726
6.2	1.13193	1.9305
6.4	1.10561	1.8581
6.6	1.08273	1.79
6.8	1.06289	1.7261
7	1.04573	1.66628
7.2	1.03095	1.6104
7.4	1.01825	1.55831
7.6	1.00739	1.50984
7.8	0.998133	1.46484
8	0.990292	1.42311
8.2	0.983684	1.38449
8.4	0.978152	1.34879
8.6	0.973555	1.31586
8.8	0.969771	1.28551
9	0.966688	1.25758
9.2	0.964211	1.23192
9.4	0.962253	1.20837
9.6	0.960741	1.18679
9.8	0.959609	1.16703
10	0.958798	1.14896
