Time	IR_beta	IR_beta_pY1146
0	11.5925	0
0.2	10.541	1.00283
0.4	9.58591	1.82442
0.6	8.71934	2.48946
0.8	7.93393	3.01975
1	7.22283	3.43448
1.2	6.57968	3.75049
1.4	5.99863	3.98258
1.6	5.47422	4.14368
1.8	5.00145	4.24509
2	4.57568	4.29666
2.2	4.19266	4.30695
2.4	3.84847	4.28337
2.6	3.53953	4.23233
2.8	3.26253	4.15935
3	3.01445	4.06915
3.2	2.79254	3.96579
3.4	2.59428	3.85271
3.6	2.41735	3.73282
3.8	2.25966	3.60858
4	2.11931	3.48203
4.2	1.99455	3.35487
4.4	1.8838	3.22849
4.6	1.78563	3.10405
4.8	1.69875	2.98243
5	1.62197	2.86435
5.2	1.55423	2.75037
5.4	1.49457	2.64088
5.6	1.44212	2.53618
5.8	1.3961	2.43645
6	1.35579	2.3418
6.2	1.32058	2.25225
6.4	1.28988	2.16779
6.6	1.26319	2.08833
6.8	1.24004	2.01378
7	1.22002	1.94399
7.2	1.20277	1.8788
7.4	1.18796	1.81803
7.6	1.17528	1.76149
7.8	1.16449	1.70898
8	1.15534	1.66029
8.2	1.14763	1.61523
8.4	1.14118	1.57359
8.6	1.13581	1.53517
8.8	1.1314	1.49976
9	1.1278	1.46718
9.2	1.12491	1.43724
9.4	1.12263	1.40977
9.6	1.12086	1.38459
9.8	1.11954	1.36153
10	1.1186	1.34045
