Time	IR_beta	IR_beta_pY1146
0	3.31214	0
0.2	3.01171	0.286524
0.4	2.73883	0.521262
0.6	2.49124	0.711275
0.8	2.26684	0.862787
1	2.06366	0.98128
1.2	1.87991	1.07157
1.4	1.71389	1.13788
1.6	1.56406	1.18391
1.8	1.42898	1.21288
2	1.30734	1.22762
2.2	1.1979	1.23056
2.4	1.09956	1.22382
2.6	1.01129	1.20924
2.8	0.932151	1.18838
3	0.861273	1.16261
3.2	0.79787	1.13308
3.4	0.741222	1.10077
3.6	0.690671	1.06652
3.8	0.645618	1.03102
4	0.605517	0.994865
4.2	0.569871	0.958533
4.4	0.538228	0.922427
4.6	0.510181	0.88687
4.8	0.485356	0.852122
5	0.463419	0.818386
5.2	0.444065	0.785819
5.4	0.427019	0.754537
5.6	0.412034	0.724623
5.8	0.398884	0.696129
6	0.38737	0.669085
6.2	0.377309	0.643501
6.4	0.368538	0.619368
6.6	0.360911	0.596667
6.8	0.354297	0.575366
7	0.348578	0.555426
7.2	0.343649	0.536799
7.4	0.339416	0.519436
7.6	0.335795	0.503282
7.8	0.332711	0.488279
8	0.330097	0.47437
8.2	0.327895	0.461495
8.4	0.326051	0.449598
8.6	0.324518	0.438619
8.8	0.323257	0.428503
9	0.322229	0.419195
9.2	0.321404	0.410641
9.4	0.320751	0.402791
9.6	0.320247	0.395596
9.8	0.31987	0.389009
10	0.319599	0.382987
