Time	IR_beta	IR_beta_pY1146
0	1.65607	0
0.2	1.50586	0.143262
0.4	1.36942	0.260631
0.6	1.24562	0.355637
0.8	1.13342	0.431394
1	1.03183	0.49064
1.2	0.939955	0.535785
1.4	0.856947	0.56894
1.6	0.782031	0.591954
1.8	0.714492	0.606442
2	0.653668	0.613809
2.2	0.598951	0.615279
2.4	0.549782	0.61191
2.6	0.505647	0.604619
2.8	0.466076	0.594192
3	0.430636	0.581307
3.2	0.398935	0.566542
3.4	0.370611	0.550387
3.6	0.345336	0.53326
3.8	0.322809	0.515511
4	0.302758	0.497432
4.2	0.284935	0.479267
4.4	0.269114	0.461214
4.6	0.25509	0.443435
4.8	0.242678	0.426061
5	0.23171	0.409193
5.2	0.222033	0.392909
5.4	0.21351	0.377268
5.6	0.206017	0.362311
5.8	0.199442	0.348064
6	0.193685	0.334543
6.2	0.188654	0.32175
6.4	0.184269	0.309684
6.6	0.180456	0.298333
6.8	0.177149	0.287683
7	0.174289	0.277713
7.2	0.171825	0.2684
7.4	0.169708	0.259718
7.6	0.167898	0.251641
7.8	0.166355	0.244139
8	0.165049	0.237185
8.2	0.163947	0.230748
8.4	0.163025	0.224799
8.6	0.162259	0.21931
8.8	0.161628	0.214252
9	0.161115	0.209597
9.2	0.160702	0.205321
9.4	0.160376	0.201396
9.6	0.160124	0.197798
9.8	0.159935	0.194505
10	0.1598	0.191493
