Time	IR_beta	IR_beta_pY1146
0	6.62428	0
0.2	6.02342	0.573047
0.4	5.47766	1.04252
0.6	4.98248	1.42255
0.8	4.53367	1.72557
1	4.12733	1.96256
1.2	3.75982	2.14314
1.4	3.42779	2.27576
1.6	3.12813	2.36782
1.8	2.85797	2.42577
2	2.61467	2.45524
2.2	2.39581	2.46112
2.4	2.19913	2.44764
2.6	2.02259	2.41848
2.8	1.8643	2.37677
3	1.72255	2.32523
3.2	1.59574	2.26617
3.4	1.48244	2.20155
3.6	1.38134	2.13304
3.8	1.29124	2.06204
4	1.21103	1.98973
4.2	1.13974	1.91707
4.4	1.07646	1.84485
4.6	1.02036	1.77374
4.8	0.970713	1.70424
5	0.926839	1.63677
5.2	0.888131	1.57164
5.4	0.854039	1.50907
5.6	0.824067	1.44925
5.8	0.797769	1.39226
6	0.774739	1.33817
6.2	0.754617	1.287
6.4	0.737076	1.23874
6.6	0.721822	1.19333
6.8	0.708594	1.15073
7	0.697156	1.11085
7.2	0.687299	1.0736
7.4	0.678832	1.03887
7.6	0.67159	1.00656
7.8	0.665422	0.976558
8	0.660194	0.948739
8.2	0.655789	0.922991
8.4	0.652101	0.899195
8.6	0.649037	0.877238
8.8	0.646514	0.857006
9	0.644459	0.838389
9.2	0.642807	0.821282
9.4	0.641502	0.805582
9.6	0.640494	0.791192
9.8	0.639739	0.778019
10	0.639199	0.765973
